#IDXCOL=1,DATACOL=2,SEP=' '
pedestrianId endTime-PID5 startTime-PID7
1 300.0 0.0
2 167.6000000000013 0.0
3 163.20000000000124 0.0
4 94.00000000000026 0.0
5 300.0 16.400000000000006
6 168.4000000000013 25.99999999999997
7 134.40000000000083 26.79999999999997
8 230.0000000000022 40.39999999999992
9 209.6000000000019 42.39999999999991
10 192.00000000000165 74.39999999999998
11 300.0 76.4
12 268.40000000000185 109.20000000000047
13 300.0 132.0000000000008
14 300.0 132.8000000000008
15 300.0 143.60000000000096
16 237.6000000000023 147.200000000001
17 300.0 154.4000000000011
18 300.0 165.60000000000127
19 286.40000000000083 180.8000000000015
20 290.0000000000006 198.00000000000173
21 300.0 199.60000000000176
22 300.0 208.40000000000188
23 300.0 242.80000000000237
24 300.0 259.60000000000235
25 300.0 264.4000000000021
26 300.0 274.4000000000015
27 300.0 276.0000000000014
28 300.0 287.60000000000076
