#IDXCOL=1,DATACOL=2,SEP=' '
pedestrianId endTime-PID5 startTime-PID7
1 168.80000000000132 0.0
2 167.6000000000013 0.0
3 163.20000000000124 0.0
4 94.00000000000026 0.0
5 168.80000000000132 16.400000000000006
6 168.4000000000013 25.99999999999997
7 134.40000000000083 26.79999999999997
8 168.80000000000132 40.39999999999992
9 168.80000000000132 42.39999999999991
10 168.80000000000132 74.39999999999998
11 168.80000000000132 76.4
12 168.80000000000132 109.20000000000047
13 168.80000000000132 132.0000000000008
14 168.80000000000132 132.8000000000008
15 168.80000000000132 143.60000000000096
16 168.80000000000132 147.200000000001
17 168.80000000000132 154.4000000000011
18 168.80000000000132 165.60000000000127
