id,run_id,unknown_index_0,timeToInform95PercentAgents
0,0,0,3.6
1,0,0,3.6
2,0,0,10.8
3,0,0,5.6
4,0,0,4.8
5,0,0,5.6
6,0,0,4.8
7,0,0,4.8
8,0,0,5.6
9,0,0,10.8
10,0,0,3.6
11,0,0,4.8
12,0,0,5.6
13,0,0,10.8
14,0,0,10
15,0,0,17.6
16,0,0,4.8
17,0,0,2.8
18,0,0,5.6
19,0,0,4.8
20,0,0,3.6
21,0,0,3.6
22,0,0,3.6
23,0,0,4.8
24,0,0,15.6
25,0,0,5.6
26,0,0,4.8
27,0,0,8.8
28,0,0,3.6
29,0,0,6.8
30,0,0,3.6
31,0,0,2.8
32,0,0,5.6
33,0,0,8.8
34,0,0,4.8
35,0,0,4.8
36,0,0,5.6
37,0,0,8.8
38,0,0,4
39,0,0,4.4
40,0,0,3.6
41,0,0,5.6
42,0,0,3.6
43,0,0,2.8
44,0,0,3.6
45,0,0,5.6
46,0,0,3.6
47,0,0,3.6
48,0,0,4.8
49,0,0,4.8
50,0,0,5.6
51,0,0,5.6
52,0,0,3.6
53,0,0,4.8
54,0,0,11.6
55,0,0,11.6
56,0,0,16
57,0,0,4.8
58,0,0,15.6
59,0,0,15.2
60,0,0,15.2
61,0,0,4.8
62,0,0,3.6
63,0,0,2.8
64,0,0,9.6
65,0,0,5.6
66,0,0,6.4
67,0,0,9.6
68,0,0,6.4
69,0,0,4.8
70,0,0,3.6
71,0,0,3.6
72,0,0,4.8
73,0,0,4.8
74,0,0,4.8
75,0,0,4.8
76,0,0,4.8
77,0,0,4.8
78,0,0,3.6
79,0,0,4.8
80,0,0,4.8
81,0,0,13.6
82,0,0,3.6
83,0,0,3.6
84,0,0,3.6
85,0,0,7.6
86,0,0,4.8
87,0,0,6
88,0,0,4.8
89,0,0,4.8
90,0,0,18.8
91,0,0,27.6
92,0,0,13.2
93,0,0,4.8
94,0,0,5.6
95,0,0,4.8
96,0,0,4.8
97,0,0,4.8
98,0,0,14.8
99,0,0,8.8
100,0,0,6.8
101,0,0,3.6
102,0,0,5.6
103,0,0,5.6
104,0,0,3.6
105,0,0,12.4
106,0,0,2.8
107,0,0,3.6
108,0,0,3.6
109,0,0,12.8
110,0,0,4.8
111,0,0,4
112,0,0,3.6
113,0,0,3.6
114,0,0,4.8
115,0,0,3.6
116,0,0,3.6
117,0,0,3.6
118,0,0,2.8
119,0,0,3.6
120,0,0,10.8
121,0,0,24.4
122,0,0,17.2
123,0,0,6.4
124,0,0,7.6
125,0,0,5.6
126,0,0,6.8
127,0,0,6.8
128,0,0,7.2
129,0,0,9.6
130,0,0,7.6
131,0,0,7.6
132,0,0,7.6
133,0,0,9.6
134,0,0,9.6
135,0,0,9.6
136,0,0,4.8
137,0,0,6.8
138,0,0,4.8
139,0,0,5.6
140,0,0,4.8
141,0,0,6.8
142,0,0,8.8
143,0,0,4.8
144,0,0,2.8
145,0,0,6.8
146,0,0,4.8
147,0,0,3.6
148,0,0,4.8
149,0,0,6.8
150,0,0,7.6
151,0,0,6.8
152,0,0,5.6
153,0,0,4.8
154,0,0,4.8
155,0,0,5.6
156,0,0,8.8
157,0,0,4.8
158,0,0,4.8
159,0,0,6.8
160,0,0,5.2
161,0,0,4
162,0,0,10.4
163,0,0,5.2
164,0,0,7.6
165,0,0,4.8
166,0,0,4.8
167,0,0,3.6
168,0,0,5.6
169,0,0,32.3999999999999
170,0,0,2.8
171,0,0,3.6
172,0,0,2.8
173,0,0,3.6
174,0,0,8.8
175,0,0,5.6
176,0,0,3.6
177,0,0,4.8
178,0,0,3.6
179,0,0,5.6
180,0,0,4.8
181,0,0,4.8
182,0,0,5.6
183,0,0,3.6
184,0,0,69.1999999999999
185,0,0,8.8
186,0,0,69.1999999999999
187,0,0,69.1999999999999
188,0,0,69.1999999999999
189,0,0,4.4
190,0,0,6.4
191,0,0,6.8
192,0,0,14.8
193,0,0,3.6
194,0,0,14.8
195,0,0,14.8
196,0,0,14.8
197,0,0,4
198,0,0,4.8
199,0,0,4.8
200,0,0,3.6
201,0,0,4.8
202,0,0,5.6
203,0,0,10.8
204,0,0,3.6
205,0,0,4
206,0,0,3.6
207,0,0,2.8
208,0,0,4.8
209,0,0,4
210,0,0,3.6
211,0,0,4.8
212,0,0,4.8
213,0,0,4.8
214,0,0,6.4
215,0,0,5.2
