,,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter,Parameter
,,dummy,omnet,omnet,omnet,omnet,vadere,vadere,vadere,vadere,vadere,vadere
,,number_of_agents_mean,**wlan[*].radio.transmitter.power,*.hostMobile[*].app[1].messageLength,*.manager.host,*.manager.useVadereSeed,attributesSimulation.fixedSeed,attributesSimulation.useFixedSeed,sources.[id==1].distributionParameters,sources.[id==2].distributionParameters,sources.[id==5].distributionParameters,sources.[id==6].distributionParameters
id,run_id,,,,,,,,,,,
480,0,277.0,1.1mW,1335B,"""vadere_Sample__480_0""",true,65722447231342458,True,[0.6925],[0.6925],[0.6925],[0.6925]
481,0,43.0,1.1mW,1335B,"""vadere_Sample__481_0""",true,65722447231342458,True,[0.1075],[0.1075],[0.1075],[0.1075]
482,0,277.0,1.1mW,3957B,"""vadere_Sample__482_0""",true,65722447231342458,True,[0.6925],[0.6925],[0.6925],[0.6925]
483,0,277.0,0.62mW,1335B,"""vadere_Sample__483_0""",true,65722447231342458,True,[0.6925],[0.6925],[0.6925],[0.6925]
484,0,277.0,0.62mW,3957B,"""vadere_Sample__484_0""",true,65722447231342458,True,[0.6925],[0.6925],[0.6925],[0.6925]
485,0,43.0,0.62mW,1335B,"""vadere_Sample__485_0""",true,65722447231342458,True,[0.1075],[0.1075],[0.1075],[0.1075]
486,0,43.0,1.1mW,3957B,"""vadere_Sample__486_0""",true,65722447231342458,True,[0.1075],[0.1075],[0.1075],[0.1075]
487,0,43.0,0.62mW,3957B,"""vadere_Sample__487_0""",true,65722447231342458,True,[0.1075],[0.1075],[0.1075],[0.1075]
488,0,1189.0,1.85mW,3835B,"""vadere_Sample__488_0""",true,65722447231342458,True,[2.9725],[2.9725],[2.9725],[2.9725]
489,0,412.0,1.85mW,3835B,"""vadere_Sample__489_0""",true,65722447231342458,True,[1.03],[1.03],[1.03],[1.03]
490,0,1189.0,1.85mW,1457B,"""vadere_Sample__490_0""",true,65722447231342458,True,[2.9725],[2.9725],[2.9725],[2.9725]
491,0,1189.0,1.37mW,3835B,"""vadere_Sample__491_0""",true,65722447231342458,True,[2.9725],[2.9725],[2.9725],[2.9725]
492,0,1189.0,1.37mW,1457B,"""vadere_Sample__492_0""",true,65722447231342458,True,[2.9725],[2.9725],[2.9725],[2.9725]
493,0,412.0,1.37mW,3835B,"""vadere_Sample__493_0""",true,65722447231342458,True,[1.03],[1.03],[1.03],[1.03]
494,0,412.0,1.85mW,1457B,"""vadere_Sample__494_0""",true,65722447231342458,True,[1.03],[1.03],[1.03],[1.03]
495,0,412.0,1.37mW,1457B,"""vadere_Sample__495_0""",true,65722447231342458,True,[1.03],[1.03],[1.03],[1.03]
496,0,548.0,0.73mW,85B,"""vadere_Sample__496_0""",true,65722447231342458,True,[1.37],[1.37],[1.37],[1.37]
497,0,194.0,0.73mW,85B,"""vadere_Sample__497_0""",true,65722447231342458,True,[0.485],[0.485],[0.485],[0.485]
498,0,548.0,0.73mW,207B,"""vadere_Sample__498_0""",true,65722447231342458,True,[1.37],[1.37],[1.37],[1.37]
499,0,548.0,1.74mW,85B,"""vadere_Sample__499_0""",true,65722447231342458,True,[1.37],[1.37],[1.37],[1.37]
500,0,548.0,1.74mW,207B,"""vadere_Sample__500_0""",true,65722447231342458,True,[1.37],[1.37],[1.37],[1.37]
501,0,194.0,1.74mW,85B,"""vadere_Sample__501_0""",true,65722447231342458,True,[0.485],[0.485],[0.485],[0.485]
502,0,194.0,0.73mW,207B,"""vadere_Sample__502_0""",true,65722447231342458,True,[0.485],[0.485],[0.485],[0.485]
503,0,194.0,1.74mW,207B,"""vadere_Sample__503_0""",true,65722447231342458,True,[0.485],[0.485],[0.485],[0.485]
504,0,103.0,1.48mW,2585B,"""vadere_Sample__504_0""",true,65722447231342458,True,[0.2575],[0.2575],[0.2575],[0.2575]
505,0,811.0,1.48mW,2585B,"""vadere_Sample__505_0""",true,65722447231342458,True,[2.0275],[2.0275],[2.0275],[2.0275]
506,0,103.0,1.48mW,2707B,"""vadere_Sample__506_0""",true,65722447231342458,True,[0.2575],[0.2575],[0.2575],[0.2575]
507,0,103.0,0.99mW,2585B,"""vadere_Sample__507_0""",true,65722447231342458,True,[0.2575],[0.2575],[0.2575],[0.2575]
508,0,103.0,0.99mW,2707B,"""vadere_Sample__508_0""",true,65722447231342458,True,[0.2575],[0.2575],[0.2575],[0.2575]
509,0,811.0,0.99mW,2585B,"""vadere_Sample__509_0""",true,65722447231342458,True,[2.0275],[2.0275],[2.0275],[2.0275]
510,0,811.0,1.48mW,2707B,"""vadere_Sample__510_0""",true,65722447231342458,True,[2.0275],[2.0275],[2.0275],[2.0275]
511,0,811.0,0.99mW,2707B,"""vadere_Sample__511_0""",true,65722447231342458,True,[2.0275],[2.0275],[2.0275],[2.0275]
512,0,141.0,0.82mW,2272B,"""vadere_Sample__512_0""",true,65722447231342458,True,[0.3525],[0.3525],[0.3525],[0.3525]
513,0,348.0,0.82mW,2272B,"""vadere_Sample__513_0""",true,65722447231342458,True,[0.87],[0.87],[0.87],[0.87]
514,0,141.0,0.82mW,1145B,"""vadere_Sample__514_0""",true,65722447231342458,True,[0.3525],[0.3525],[0.3525],[0.3525]
515,0,141.0,1.09mW,2272B,"""vadere_Sample__515_0""",true,65722447231342458,True,[0.3525],[0.3525],[0.3525],[0.3525]
516,0,141.0,1.09mW,1145B,"""vadere_Sample__516_0""",true,65722447231342458,True,[0.3525],[0.3525],[0.3525],[0.3525]
517,0,348.0,1.09mW,2272B,"""vadere_Sample__517_0""",true,65722447231342458,True,[0.87],[0.87],[0.87],[0.87]
518,0,348.0,0.82mW,1145B,"""vadere_Sample__518_0""",true,65722447231342458,True,[0.87],[0.87],[0.87],[0.87]
519,0,348.0,1.09mW,1145B,"""vadere_Sample__519_0""",true,65722447231342458,True,[0.87],[0.87],[0.87],[0.87]
520,0,648.0,1.57mW,4772B,"""vadere_Sample__520_0""",true,65722447231342458,True,[1.62],[1.62],[1.62],[1.62]
521,0,11.0,1.57mW,4772B,"""vadere_Sample__521_0""",true,65722447231342458,True,[0.0275],[0.0275],[0.0275],[0.0275]
522,0,648.0,1.57mW,3645B,"""vadere_Sample__522_0""",true,65722447231342458,True,[1.62],[1.62],[1.62],[1.62]
523,0,648.0,1.84mW,4772B,"""vadere_Sample__523_0""",true,65722447231342458,True,[1.62],[1.62],[1.62],[1.62]
524,0,648.0,1.84mW,3645B,"""vadere_Sample__524_0""",true,65722447231342458,True,[1.62],[1.62],[1.62],[1.62]
525,0,11.0,1.84mW,4772B,"""vadere_Sample__525_0""",true,65722447231342458,True,[0.0275],[0.0275],[0.0275],[0.0275]
526,0,11.0,1.57mW,3645B,"""vadere_Sample__526_0""",true,65722447231342458,True,[0.0275],[0.0275],[0.0275],[0.0275]
527,0,11.0,1.84mW,3645B,"""vadere_Sample__527_0""",true,65722447231342458,True,[0.0275],[0.0275],[0.0275],[0.0275]
528,0,1719.0,1.2mW,1022B,"""vadere_Sample__528_0""",true,65722447231342458,True,[4.2975],[4.2975],[4.2975],[4.2975]
529,0,678.0,1.2mW,1022B,"""vadere_Sample__529_0""",true,65722447231342458,True,[1.695],[1.695],[1.695],[1.695]
530,0,1719.0,1.2mW,4895B,"""vadere_Sample__530_0""",true,65722447231342458,True,[4.2975],[4.2975],[4.2975],[4.2975]
531,0,1719.0,1.46mW,1022B,"""vadere_Sample__531_0""",true,65722447231342458,True,[4.2975],[4.2975],[4.2975],[4.2975]
532,0,1719.0,1.46mW,4895B,"""vadere_Sample__532_0""",true,65722447231342458,True,[4.2975],[4.2975],[4.2975],[4.2975]
533,0,678.0,1.46mW,1022B,"""vadere_Sample__533_0""",true,65722447231342458,True,[1.695],[1.695],[1.695],[1.695]
534,0,678.0,1.2mW,4895B,"""vadere_Sample__534_0""",true,65722447231342458,True,[1.695],[1.695],[1.695],[1.695]
535,0,678.0,1.46mW,4895B,"""vadere_Sample__535_0""",true,65722447231342458,True,[1.695],[1.695],[1.695],[1.695]
536,0,332.0,1.95mW,3522B,"""vadere_Sample__536_0""",true,65722447231342458,True,[0.8300000000000001],[0.8300000000000001],[0.8300000000000001],[0.8300000000000001]
537,0,152.0,1.95mW,3522B,"""vadere_Sample__537_0""",true,65722447231342458,True,[0.38],[0.38],[0.38],[0.38]
538,0,332.0,1.95mW,2395B,"""vadere_Sample__538_0""",true,65722447231342458,True,[0.8300000000000001],[0.8300000000000001],[0.8300000000000001],[0.8300000000000001]
539,0,332.0,0.71mW,3522B,"""vadere_Sample__539_0""",true,65722447231342458,True,[0.8300000000000001],[0.8300000000000001],[0.8300000000000001],[0.8300000000000001]
540,0,332.0,0.71mW,2395B,"""vadere_Sample__540_0""",true,65722447231342458,True,[0.8300000000000001],[0.8300000000000001],[0.8300000000000001],[0.8300000000000001]
541,0,152.0,0.71mW,3522B,"""vadere_Sample__541_0""",true,65722447231342458,True,[0.38],[0.38],[0.38],[0.38]
542,0,152.0,1.95mW,2395B,"""vadere_Sample__542_0""",true,65722447231342458,True,[0.38],[0.38],[0.38],[0.38]
543,0,152.0,0.71mW,2395B,"""vadere_Sample__543_0""",true,65722447231342458,True,[0.38],[0.38],[0.38],[0.38]
544,0,228.0,1.38mW,397B,"""vadere_Sample__544_0""",true,65722447231342458,True,[0.5700000000000001],[0.5700000000000001],[0.5700000000000001],[0.5700000000000001]
545,0,240.0,1.38mW,397B,"""vadere_Sample__545_0""",true,65722447231342458,True,[0.6],[0.6],[0.6],[0.6]
546,0,228.0,1.38mW,1770B,"""vadere_Sample__546_0""",true,65722447231342458,True,[0.5700000000000001],[0.5700000000000001],[0.5700000000000001],[0.5700000000000001]
547,0,228.0,0.9mW,397B,"""vadere_Sample__547_0""",true,65722447231342458,True,[0.5700000000000001],[0.5700000000000001],[0.5700000000000001],[0.5700000000000001]
548,0,228.0,0.9mW,1770B,"""vadere_Sample__548_0""",true,65722447231342458,True,[0.5700000000000001],[0.5700000000000001],[0.5700000000000001],[0.5700000000000001]
549,0,240.0,0.9mW,397B,"""vadere_Sample__549_0""",true,65722447231342458,True,[0.6],[0.6],[0.6],[0.6]
550,0,240.0,1.38mW,1770B,"""vadere_Sample__550_0""",true,65722447231342458,True,[0.6],[0.6],[0.6],[0.6]
551,0,240.0,0.9mW,1770B,"""vadere_Sample__551_0""",true,65722447231342458,True,[0.6],[0.6],[0.6],[0.6]
552,0,938.0,0.63mW,2897B,"""vadere_Sample__552_0""",true,65722447231342458,True,[2.345],[2.345],[2.345],[2.345]
553,0,993.0,0.63mW,2897B,"""vadere_Sample__553_0""",true,65722447231342458,True,[2.4825],[2.4825],[2.4825],[2.4825]
554,0,938.0,0.63mW,4270B,"""vadere_Sample__554_0""",true,65722447231342458,True,[2.345],[2.345],[2.345],[2.345]
555,0,938.0,1.65mW,2897B,"""vadere_Sample__555_0""",true,65722447231342458,True,[2.345],[2.345],[2.345],[2.345]
556,0,938.0,1.65mW,4270B,"""vadere_Sample__556_0""",true,65722447231342458,True,[2.345],[2.345],[2.345],[2.345]
557,0,993.0,1.65mW,2897B,"""vadere_Sample__557_0""",true,65722447231342458,True,[2.4825],[2.4825],[2.4825],[2.4825]
558,0,993.0,0.63mW,4270B,"""vadere_Sample__558_0""",true,65722447231342458,True,[2.4825],[2.4825],[2.4825],[2.4825]
559,0,993.0,1.65mW,4270B,"""vadere_Sample__559_0""",true,65722447231342458,True,[2.4825],[2.4825],[2.4825],[2.4825]
560,0,465.0,1.76mW,1647B,"""vadere_Sample__560_0""",true,65722447231342458,True,[1.1625],[1.1625],[1.1625],[1.1625]
561,0,76.0,1.76mW,1647B,"""vadere_Sample__561_0""",true,65722447231342458,True,[0.19],[0.19],[0.19],[0.19]
562,0,465.0,1.76mW,3020B,"""vadere_Sample__562_0""",true,65722447231342458,True,[1.1625],[1.1625],[1.1625],[1.1625]
563,0,465.0,1.27mW,1647B,"""vadere_Sample__563_0""",true,65722447231342458,True,[1.1625],[1.1625],[1.1625],[1.1625]
564,0,465.0,1.27mW,3020B,"""vadere_Sample__564_0""",true,65722447231342458,True,[1.1625],[1.1625],[1.1625],[1.1625]
565,0,76.0,1.27mW,1647B,"""vadere_Sample__565_0""",true,65722447231342458,True,[0.19],[0.19],[0.19],[0.19]
566,0,76.0,1.76mW,3020B,"""vadere_Sample__566_0""",true,65722447231342458,True,[0.19],[0.19],[0.19],[0.19]
567,0,76.0,1.27mW,3020B,"""vadere_Sample__567_0""",true,65722447231342458,True,[0.19],[0.19],[0.19],[0.19]
568,0,67.0,1.01mW,4147B,"""vadere_Sample__568_0""",true,65722447231342458,True,[0.1675],[0.1675],[0.1675],[0.1675]
569,0,486.0,1.01mW,4147B,"""vadere_Sample__569_0""",true,65722447231342458,True,[1.215],[1.215],[1.215],[1.215]
570,0,67.0,1.01mW,520B,"""vadere_Sample__570_0""",true,65722447231342458,True,[0.1675],[0.1675],[0.1675],[0.1675]
571,0,67.0,0.52mW,4147B,"""vadere_Sample__571_0""",true,65722447231342458,True,[0.1675],[0.1675],[0.1675],[0.1675]
572,0,67.0,0.52mW,520B,"""vadere_Sample__572_0""",true,65722447231342458,True,[0.1675],[0.1675],[0.1675],[0.1675]
573,0,486.0,0.52mW,4147B,"""vadere_Sample__573_0""",true,65722447231342458,True,[1.215],[1.215],[1.215],[1.215]
574,0,486.0,1.01mW,520B,"""vadere_Sample__574_0""",true,65722447231342458,True,[1.215],[1.215],[1.215],[1.215]
575,0,486.0,0.52mW,520B,"""vadere_Sample__575_0""",true,65722447231342458,True,[1.215],[1.215],[1.215],[1.215]
576,0,50.0,1.62mW,1804B,"""vadere_Sample__576_0""",true,65722447231342458,True,[0.125],[0.125],[0.125],[0.125]
577,0,217.0,1.62mW,1804B,"""vadere_Sample__577_0""",true,65722447231342458,True,[0.5425],[0.5425],[0.5425],[0.5425]
578,0,50.0,1.62mW,4426B,"""vadere_Sample__578_0""",true,65722447231342458,True,[0.125],[0.125],[0.125],[0.125]
579,0,50.0,1.7mW,1804B,"""vadere_Sample__579_0""",true,65722447231342458,True,[0.125],[0.125],[0.125],[0.125]
580,0,50.0,1.7mW,4426B,"""vadere_Sample__580_0""",true,65722447231342458,True,[0.125],[0.125],[0.125],[0.125]
581,0,217.0,1.7mW,1804B,"""vadere_Sample__581_0""",true,65722447231342458,True,[0.5425],[0.5425],[0.5425],[0.5425]
582,0,217.0,1.62mW,4426B,"""vadere_Sample__582_0""",true,65722447231342458,True,[0.5425],[0.5425],[0.5425],[0.5425]
583,0,217.0,1.7mW,4426B,"""vadere_Sample__583_0""",true,65722447231342458,True,[0.5425],[0.5425],[0.5425],[0.5425]
584,0,429.0,0.87mW,4304B,"""vadere_Sample__584_0""",true,65722447231342458,True,[1.0725],[1.0725],[1.0725],[1.0725]
585,0,894.0,0.87mW,4304B,"""vadere_Sample__585_0""",true,65722447231342458,True,[2.235],[2.235],[2.235],[2.235]
586,0,429.0,0.87mW,1926B,"""vadere_Sample__586_0""",true,65722447231342458,True,[1.0725],[1.0725],[1.0725],[1.0725]
587,0,429.0,0.95mW,4304B,"""vadere_Sample__587_0""",true,65722447231342458,True,[1.0725],[1.0725],[1.0725],[1.0725]
588,0,429.0,0.95mW,1926B,"""vadere_Sample__588_0""",true,65722447231342458,True,[1.0725],[1.0725],[1.0725],[1.0725]
589,0,894.0,0.95mW,4304B,"""vadere_Sample__589_0""",true,65722447231342458,True,[2.235],[2.235],[2.235],[2.235]
590,0,894.0,0.87mW,1926B,"""vadere_Sample__590_0""",true,65722447231342458,True,[2.235],[2.235],[2.235],[2.235]
591,0,894.0,0.95mW,1926B,"""vadere_Sample__591_0""",true,65722447231342458,True,[2.235],[2.235],[2.235],[2.235]
592,0,848.0,1.99mW,554B,"""vadere_Sample__592_0""",true,65722447231342458,True,[2.12],[2.12],[2.12],[2.12]
593,0,59.0,1.99mW,554B,"""vadere_Sample__593_0""",true,65722447231342458,True,[0.1475],[0.1475],[0.1475],[0.1475]
594,0,848.0,1.99mW,676B,"""vadere_Sample__594_0""",true,65722447231342458,True,[2.12],[2.12],[2.12],[2.12]
595,0,848.0,0.57mW,554B,"""vadere_Sample__595_0""",true,65722447231342458,True,[2.12],[2.12],[2.12],[2.12]
596,0,848.0,0.57mW,676B,"""vadere_Sample__596_0""",true,65722447231342458,True,[2.12],[2.12],[2.12],[2.12]
597,0,59.0,0.57mW,554B,"""vadere_Sample__597_0""",true,65722447231342458,True,[0.1475],[0.1475],[0.1475],[0.1475]
598,0,59.0,1.99mW,676B,"""vadere_Sample__598_0""",true,65722447231342458,True,[0.1475],[0.1475],[0.1475],[0.1475]
599,0,59.0,0.57mW,676B,"""vadere_Sample__599_0""",true,65722447231342458,True,[0.1475],[0.1475],[0.1475],[0.1475]
600,0,204.0,1.24mW,3054B,"""vadere_Sample__600_0""",true,65722447231342458,True,[0.51],[0.51],[0.51],[0.51]
601,0,448.0,1.24mW,3054B,"""vadere_Sample__601_0""",true,65722447231342458,True,[1.12],[1.12],[1.12],[1.12]
602,0,204.0,1.24mW,3176B,"""vadere_Sample__602_0""",true,65722447231342458,True,[0.51],[0.51],[0.51],[0.51]
603,0,204.0,1.32mW,3054B,"""vadere_Sample__603_0""",true,65722447231342458,True,[0.51],[0.51],[0.51],[0.51]
604,0,204.0,1.32mW,3176B,"""vadere_Sample__604_0""",true,65722447231342458,True,[0.51],[0.51],[0.51],[0.51]
605,0,448.0,1.32mW,3054B,"""vadere_Sample__605_0""",true,65722447231342458,True,[1.12],[1.12],[1.12],[1.12]
606,0,448.0,1.24mW,3176B,"""vadere_Sample__606_0""",true,65722447231342458,True,[1.12],[1.12],[1.12],[1.12]
607,0,448.0,1.32mW,3176B,"""vadere_Sample__607_0""",true,65722447231342458,True,[1.12],[1.12],[1.12],[1.12]
608,0,304.0,0.68mW,1179B,"""vadere_Sample__608_0""",true,65722447231342458,True,[0.76],[0.76],[0.76],[0.76]
609,0,622.0,0.68mW,1179B,"""vadere_Sample__609_0""",true,65722447231342458,True,[1.555],[1.555],[1.555],[1.555]
610,0,304.0,0.68mW,2551B,"""vadere_Sample__610_0""",true,65722447231342458,True,[0.76],[0.76],[0.76],[0.76]
611,0,304.0,1.88mW,1179B,"""vadere_Sample__611_0""",true,65722447231342458,True,[0.76],[0.76],[0.76],[0.76]
612,0,304.0,1.88mW,2551B,"""vadere_Sample__612_0""",true,65722447231342458,True,[0.76],[0.76],[0.76],[0.76]
613,0,622.0,1.88mW,1179B,"""vadere_Sample__613_0""",true,65722447231342458,True,[1.555],[1.555],[1.555],[1.555]
614,0,622.0,0.68mW,2551B,"""vadere_Sample__614_0""",true,65722447231342458,True,[1.555],[1.555],[1.555],[1.555]
615,0,622.0,1.88mW,2551B,"""vadere_Sample__615_0""",true,65722447231342458,True,[1.555],[1.555],[1.555],[1.555]
616,0,1386.0,1.43mW,3679B,"""vadere_Sample__616_0""",true,65722447231342458,True,[3.465],[3.465],[3.465],[3.465]
617,0,132.0,1.43mW,3679B,"""vadere_Sample__617_0""",true,65722447231342458,True,[0.33],[0.33],[0.33],[0.33]
618,0,1386.0,1.43mW,51B,"""vadere_Sample__618_0""",true,65722447231342458,True,[3.465],[3.465],[3.465],[3.465]
619,0,1386.0,1.13mW,3679B,"""vadere_Sample__619_0""",true,65722447231342458,True,[3.465],[3.465],[3.465],[3.465]
620,0,1386.0,1.13mW,51B,"""vadere_Sample__620_0""",true,65722447231342458,True,[3.465],[3.465],[3.465],[3.465]
621,0,132.0,1.13mW,3679B,"""vadere_Sample__621_0""",true,65722447231342458,True,[0.33],[0.33],[0.33],[0.33]
622,0,132.0,1.43mW,51B,"""vadere_Sample__622_0""",true,65722447231342458,True,[0.33],[0.33],[0.33],[0.33]
623,0,132.0,1.13mW,51B,"""vadere_Sample__623_0""",true,65722447231342458,True,[0.33],[0.33],[0.33],[0.33]
624,0,595.0,1.05mW,2429B,"""vadere_Sample__624_0""",true,65722447231342458,True,[1.4875],[1.4875],[1.4875],[1.4875]
625,0,1535.0,1.05mW,2429B,"""vadere_Sample__625_0""",true,65722447231342458,True,[3.8375],[3.8375],[3.8375],[3.8375]
626,0,595.0,1.05mW,1301B,"""vadere_Sample__626_0""",true,65722447231342458,True,[1.4875],[1.4875],[1.4875],[1.4875]
627,0,595.0,0.76mW,2429B,"""vadere_Sample__627_0""",true,65722447231342458,True,[1.4875],[1.4875],[1.4875],[1.4875]
628,0,595.0,0.76mW,1301B,"""vadere_Sample__628_0""",true,65722447231342458,True,[1.4875],[1.4875],[1.4875],[1.4875]
629,0,1535.0,0.76mW,2429B,"""vadere_Sample__629_0""",true,65722447231342458,True,[3.8375],[3.8375],[3.8375],[3.8375]
630,0,1535.0,1.05mW,1301B,"""vadere_Sample__630_0""",true,65722447231342458,True,[3.8375],[3.8375],[3.8375],[3.8375]
631,0,1535.0,0.76mW,1301B,"""vadere_Sample__631_0""",true,65722447231342458,True,[3.8375],[3.8375],[3.8375],[3.8375]
632,0,122.0,1.8mW,4929B,"""vadere_Sample__632_0""",true,65722447231342458,True,[0.305],[0.305],[0.305],[0.305]
633,0,319.0,1.8mW,4929B,"""vadere_Sample__633_0""",true,65722447231342458,True,[0.7975],[0.7975],[0.7975],[0.7975]
634,0,122.0,1.8mW,3801B,"""vadere_Sample__634_0""",true,65722447231342458,True,[0.305],[0.305],[0.305],[0.305]
635,0,122.0,1.51mW,4929B,"""vadere_Sample__635_0""",true,65722447231342458,True,[0.305],[0.305],[0.305],[0.305]
636,0,122.0,1.51mW,3801B,"""vadere_Sample__636_0""",true,65722447231342458,True,[0.305],[0.305],[0.305],[0.305]
637,0,319.0,1.51mW,4929B,"""vadere_Sample__637_0""",true,65722447231342458,True,[0.7975],[0.7975],[0.7975],[0.7975]
638,0,319.0,1.8mW,3801B,"""vadere_Sample__638_0""",true,65722447231342458,True,[0.7975],[0.7975],[0.7975],[0.7975]
639,0,319.0,1.51mW,3801B,"""vadere_Sample__639_0""",true,65722447231342458,True,[0.7975],[0.7975],[0.7975],[0.7975]
640,0,85.0,0.96mW,241B,"""vadere_Sample__640_0""",true,65722447231342458,True,[0.2125],[0.2125],[0.2125],[0.2125]
641,0,94.0,0.96mW,241B,"""vadere_Sample__641_0""",true,65722447231342458,True,[0.23500000000000001],[0.23500000000000001],[0.23500000000000001],[0.23500000000000001]
642,0,85.0,0.96mW,2238B,"""vadere_Sample__642_0""",true,65722447231342458,True,[0.2125],[0.2125],[0.2125],[0.2125]
643,0,85.0,1.41mW,241B,"""vadere_Sample__643_0""",true,65722447231342458,True,[0.2125],[0.2125],[0.2125],[0.2125]
644,0,85.0,1.41mW,2238B,"""vadere_Sample__644_0""",true,65722447231342458,True,[0.2125],[0.2125],[0.2125],[0.2125]
645,0,94.0,1.41mW,241B,"""vadere_Sample__645_0""",true,65722447231342458,True,[0.23500000000000001],[0.23500000000000001],[0.23500000000000001],[0.23500000000000001]
646,0,94.0,0.96mW,2238B,"""vadere_Sample__646_0""",true,65722447231342458,True,[0.23500000000000001],[0.23500000000000001],[0.23500000000000001],[0.23500000000000001]
647,0,94.0,1.41mW,2238B,"""vadere_Sample__647_0""",true,65722447231342458,True,[0.23500000000000001],[0.23500000000000001],[0.23500000000000001],[0.23500000000000001]
648,0,505.0,1.71mW,2741B,"""vadere_Sample__648_0""",true,65722447231342458,True,[1.2625],[1.2625],[1.2625],[1.2625]
649,0,528.0,1.71mW,2741B,"""vadere_Sample__649_0""",true,65722447231342458,True,[1.32],[1.32],[1.32],[1.32]
650,0,505.0,1.71mW,4738B,"""vadere_Sample__650_0""",true,65722447231342458,True,[1.2625],[1.2625],[1.2625],[1.2625]
651,0,505.0,0.66mW,2741B,"""vadere_Sample__651_0""",true,65722447231342458,True,[1.2625],[1.2625],[1.2625],[1.2625]
652,0,505.0,0.66mW,4738B,"""vadere_Sample__652_0""",true,65722447231342458,True,[1.2625],[1.2625],[1.2625],[1.2625]
653,0,528.0,0.66mW,2741B,"""vadere_Sample__653_0""",true,65722447231342458,True,[1.32],[1.32],[1.32],[1.32]
654,0,528.0,1.71mW,4738B,"""vadere_Sample__654_0""",true,65722447231342458,True,[1.32],[1.32],[1.32],[1.32]
655,0,528.0,0.66mW,4738B,"""vadere_Sample__655_0""",true,65722447231342458,True,[1.32],[1.32],[1.32],[1.32]
656,0,1048.0,0.59mW,1491B,"""vadere_Sample__656_0""",true,65722447231342458,True,[2.62],[2.62],[2.62],[2.62]
657,0,265.0,0.59mW,1491B,"""vadere_Sample__657_0""",true,65722447231342458,True,[0.6625],[0.6625],[0.6625],[0.6625]
658,0,1048.0,0.59mW,3488B,"""vadere_Sample__658_0""",true,65722447231342458,True,[2.62],[2.62],[2.62],[2.62]
659,0,1048.0,1.04mW,1491B,"""vadere_Sample__659_0""",true,65722447231342458,True,[2.62],[2.62],[2.62],[2.62]
660,0,1048.0,1.04mW,3488B,"""vadere_Sample__660_0""",true,65722447231342458,True,[2.62],[2.62],[2.62],[2.62]
661,0,265.0,1.04mW,1491B,"""vadere_Sample__661_0""",true,65722447231342458,True,[0.6625],[0.6625],[0.6625],[0.6625]
662,0,265.0,0.59mW,3488B,"""vadere_Sample__662_0""",true,65722447231342458,True,[0.6625],[0.6625],[0.6625],[0.6625]
663,0,265.0,1.04mW,3488B,"""vadere_Sample__663_0""",true,65722447231342458,True,[0.6625],[0.6625],[0.6625],[0.6625]
664,0,252.0,1.34mW,3991B,"""vadere_Sample__664_0""",true,65722447231342458,True,[0.63],[0.63],[0.63],[0.63]
665,0,1117.0,1.34mW,3991B,"""vadere_Sample__665_0""",true,65722447231342458,True,[2.7925],[2.7925],[2.7925],[2.7925]
666,0,252.0,1.34mW,988B,"""vadere_Sample__666_0""",true,65722447231342458,True,[0.63],[0.63],[0.63],[0.63]
667,0,252.0,1.79mW,3991B,"""vadere_Sample__667_0""",true,65722447231342458,True,[0.63],[0.63],[0.63],[0.63]
668,0,252.0,1.79mW,988B,"""vadere_Sample__668_0""",true,65722447231342458,True,[0.63],[0.63],[0.63],[0.63]
669,0,1117.0,1.79mW,3991B,"""vadere_Sample__669_0""",true,65722447231342458,True,[2.7925],[2.7925],[2.7925],[2.7925]
670,0,1117.0,1.34mW,988B,"""vadere_Sample__670_0""",true,65722447231342458,True,[2.7925],[2.7925],[2.7925],[2.7925]
671,0,1117.0,1.79mW,988B,"""vadere_Sample__671_0""",true,65722447231342458,True,[2.7925],[2.7925],[2.7925],[2.7925]
672,0,161.0,1.9mW,2116B,"""vadere_Sample__672_0""",true,65722447231342458,True,[0.4025],[0.4025],[0.4025],[0.4025]
673,0,740.0,1.9mW,2116B,"""vadere_Sample__673_0""",true,65722447231342458,True,[1.85],[1.85],[1.85],[1.85]
674,0,161.0,1.9mW,363B,"""vadere_Sample__674_0""",true,65722447231342458,True,[0.4025],[0.4025],[0.4025],[0.4025]
675,0,161.0,1.6mW,2116B,"""vadere_Sample__675_0""",true,65722447231342458,True,[0.4025],[0.4025],[0.4025],[0.4025]
676,0,161.0,1.6mW,363B,"""vadere_Sample__676_0""",true,65722447231342458,True,[0.4025],[0.4025],[0.4025],[0.4025]
677,0,740.0,1.6mW,2116B,"""vadere_Sample__677_0""",true,65722447231342458,True,[1.85],[1.85],[1.85],[1.85]
678,0,740.0,1.9mW,363B,"""vadere_Sample__678_0""",true,65722447231342458,True,[1.85],[1.85],[1.85],[1.85]
679,0,740.0,1.6mW,363B,"""vadere_Sample__679_0""",true,65722447231342458,True,[1.85],[1.85],[1.85],[1.85]
680,0,706.0,1.15mW,4616B,"""vadere_Sample__680_0""",true,65722447231342458,True,[1.7650000000000001],[1.7650000000000001],[1.7650000000000001],[1.7650000000000001]
