 timeStep numberPedsInformed-PID12 numberPedsAll-PID12 percentageInformed-PID12
0 0.0 0 1886 0.0
1 0.4000000000000057 0 1894 0.0
2 0.8000000000000114 30 1901 0.015781167806417674
3 1.2000000000000028 30 1912 0.015690376569037656
4 1.6000000000000085 700 1921 0.3643935450286309
5 2.0 700 1925 0.3636363636363637
6 2.4000000000000057 700 1935 0.3617571059431525
7 2.8000000000000114 1322 1945 0.6796915167095116
8 3.200000000000003 1322 1954 0.676560900716479
9 3.6000000000000085 1906 1960 0.9724489795918368
