#IDXCOL=1,DATACOL=2,SEP=' '
pedestrianId endTime-PID5 startTime-PID7
1 103.20000000000039 0.0
2 103.20000000000039 0.0
3 103.20000000000039 0.0
4 83.2000000000001 0.0
5 103.20000000000039 1.2000000000000002
6 103.20000000000039 4.3999999999999995
7 103.20000000000039 9.600000000000003
8 103.20000000000039 10.000000000000004
9 103.20000000000039 19.199999999999996
10 103.20000000000039 21.19999999999999
11 103.20000000000039 26.79999999999997
12 103.20000000000039 36.79999999999993
13 103.20000000000039 39.199999999999925
14 103.20000000000039 39.59999999999992
15 103.20000000000039 39.99999999999992
16 103.20000000000039 45.9999999999999
17 103.20000000000039 46.3999999999999
18 103.20000000000039 46.7999999999999
19 103.20000000000039 53.99999999999987
20 103.20000000000039 56.79999999999986
21 103.20000000000039 61.999999999999844
22 103.20000000000039 65.59999999999985
23 103.20000000000039 69.59999999999991
24 103.20000000000039 77.20000000000002
25 103.20000000000039 81.20000000000007
26 103.20000000000039 83.2000000000001
27 103.20000000000039 83.2000000000001
28 103.20000000000039 84.40000000000012
29 103.20000000000039 85.20000000000013
30 103.20000000000039 90.80000000000021
31 103.20000000000039 90.80000000000021
32 103.20000000000039 98.80000000000032
33 103.20000000000039 99.60000000000034
34 103.20000000000039 100.80000000000035
35 103.20000000000039 102.80000000000038
