id run_id numberOfAgents Power Traffic Real Kriging
0 0 131.0 1.28 386.0 3.6 5.706830485853475
1 0 553.0 1.28 386.0 3.6 4.501759784331669
2 0 131.0 1.28 1121.0 10.8 7.053349485585469
3 0 131.0 1.86 386.0 5.6 5.7071936740758495
4 0 131.0 1.86 1121.0 4.8 7.052571601293094
5 0 553.0 1.86 386.0 5.6 4.5020403883191165
6 0 553.0 1.28 1121.0 4.8 4.739086191446101
7 0 553.0 1.86 1121.0 4.8 4.739091107054533
8 0 620.0 0.53 2386.0 5.6 4.579396471181098
9 0 105.0 0.53 2386.0 10.8 8.886617667459458
10 0 620.0 0.53 3121.0 3.6 4.6341305633246295
11 0 620.0 1.11 2386.0 4.8 4.5792906633827295
12 0 620.0 1.11 3121.0 5.6 4.6344062044700385
13 0 105.0 1.11 2386.0 10.8 8.886613039020878
14 0 105.0 0.53 3121.0 10.0 10.71327105309719
15 0 105.0 1.11 3121.0 17.6 10.714085335528388
16 0 1520.0 1.65 1386.0 4.8 4.1021490380460115
17 0 1207.0 1.65 1386.0 2.8 4.107262266442394
18 0 1520.0 1.65 2121.0 5.6 4.066990699492673
19 0 1520.0 0.74 1386.0 4.8 4.102148088331528
20 0 1520.0 0.74 2121.0 3.6 4.066600655091582
21 0 1207.0 0.74 1386.0 3.6 4.107483638030407
22 0 1207.0 1.65 2121.0 3.6 4.0016033775621676
23 0 1207.0 0.74 2121.0 4.8 4.001854823600051
24 0 318.0 0.9 3386.0 15.6 6.759752269379659
25 0 280.0 0.9 3386.0 5.6 7.2047664615608795
26 0 318.0 0.9 121.0 4.8 4.249681092017743
27 0 318.0 1.49 3386.0 8.8 6.759190872087909
28 0 318.0 1.49 121.0 3.6 4.249506322724689
29 0 280.0 1.49 3386.0 6.8 7.2049372067181405
30 0 280.0 0.9 121.0 3.6 4.245098611805662
31 0 280.0 1.49 121.0 2.8 4.244941744329168
32 0 216.0 0.72 1886.0 5.6 7.512802782324403
33 0 185.0 0.72 1886.0 8.8 7.988225719556095
34 0 216.0 0.72 621.0 4.8 5.694340974389692
35 0 216.0 1.67 1886.0 4.8 7.512532825372473
36 0 216.0 1.67 621.0 5.6 5.694556980954243
37 0 185.0 1.67 1886.0 8.8 7.988198758695506
38 0 185.0 0.72 621.0 4.0 5.889027473932381
39 0 185.0 1.67 621.0 4.4 5.889178830786141
40 0 889.0 1.47 3886.0 3.6 4.050993878027943
41 0 780.0 1.47 3886.0 5.6 4.243304820562313
42 0 889.0 1.47 2621.0 3.6 4.098437544037923
43 0 889.0 0.92 3886.0 2.8 4.050864458013421
44 0 889.0 0.92 2621.0 3.6 4.098439996718126
45 0 780.0 0.92 3886.0 5.6 4.243311279808945
46 0 780.0 1.47 2621.0 3.6 4.177568281477111
47 0 780.0 0.92 2621.0 3.6 4.177570094494327
48 0 446.0 1.09 886.0 4.8 5.140176689879822
49 0 36.0 1.09 886.0 4.8 7.68323228948386
50 0 446.0 1.09 3621.0 5.6 5.447453051971856
51 0 446.0 0.55 886.0 5.6 5.140270980526079
52 0 446.0 0.55 3621.0 3.6 5.447158340671553
53 0 36.0 0.55 886.0 4.8 7.683228193405926
54 0 36.0 1.09 3621.0 11.6 12.532654871740187
55 0 36.0 0.55 3621.0 11.6 12.53256989294309
56 0 59.0 1.84 2886.0 16.0 10.18640670805239
57 0 398.0 1.84 2886.0 4.8 5.416747741390481
58 0 59.0 1.84 1621.0 15.6 8.756623473089794
59 0 59.0 1.3 2886.0 15.2 10.18635344291209
60 0 59.0 1.3 1621.0 15.2 8.756608589183045
61 0 398.0 1.3 2886.0 4.8 5.416756485510613
62 0 398.0 1.84 1621.0 3.6 5.104769789582411
63 0 398.0 1.3 1621.0 2.8 5.104602111312445
64 0 42.0 0.57 761.0 9.6 8.262095147319808
65 0 307.0 0.57 761.0 5.6 5.629706828936198
66 0 42.0 0.57 2496.0 6.4 9.515821751172496
67 0 42.0 0.88 761.0 9.6 8.26215169282423
68 0 42.0 0.88 2496.0 6.4 9.515816880451885
69 0 307.0 0.88 761.0 4.8 5.629649644381318
70 0 307.0 0.57 2496.0 3.6 5.792941807502809
71 0 307.0 0.88 2496.0 3.6 5.792936447900893
72 0 411.0 1.32 2761.0 4.8 5.31736542388664
73 0 1414.0 1.32 2761.0 4.8 4.164924895270705
74 0 411.0 1.32 496.0 4.8 4.806798517963618
75 0 411.0 1.63 2761.0 4.8 5.317358151950102
76 0 411.0 1.63 496.0 4.8 4.806803635023415
77 0 1414.0 1.63 2761.0 4.8 4.164924106878293
78 0 1414.0 1.32 496.0 3.6 3.776220702017649
79 0 1414.0 1.63 496.0 4.8 3.776302436760898
80 0 807.0 0.95 1761.0 4.8 4.241552051620443
81 0 124.0 0.95 1761.0 13.6 8.541161324989313
82 0 807.0 0.95 1496.0 3.6 4.245440640116305
83 0 807.0 1.25 1761.0 3.6 4.2414618470426735
84 0 807.0 1.25 1496.0 3.6 4.245440097509928
85 0 124.0 1.25 1761.0 7.6 8.540801980266878
86 0 124.0 0.95 1496.0 4.8 7.349722871383662
87 0 124.0 1.25 1496.0 6.0 7.349931307646763
88 0 193.0 1.7 3761.0 4.8 9.814207184313789
89 0 601.0 1.7 3761.0 4.8 4.666821945399957
90 0 193.0 1.7 3496.0 18.8 9.476807510159553
91 0 193.0 0.5 3761.0 27.6 9.81912602275444
92 0 193.0 0.5 3496.0 13.2 9.475775038580702
93 0 601.0 0.5 3761.0 4.8 4.666839130621468
94 0 601.0 1.7 3496.0 5.6 4.727618325781365
