id,run_id,Unnamed:,0,timeStep,numberPedsInformed-PID12,numberPedsAll-PID12,percentageInformed-PID12
1008,0,0,0,0,526,0,
1008,0,1,0.400000000000006,0,528,0,
1008,0,2,0.800000000000011,7,528,0.013257575757576,
1008,0,3,1.2,7,532,0.013157894736842,
1008,0,4,1.60000000000001,244,535,0.45607476635514,
1008,0,5,2,244,538,0.453531598513011,
1008,0,6,2.40000000000001,244,540,0.451851851851852,
1008,0,7,2.80000000000001,500,541,0.924214417744917,
1008,0,8,3.2,500,542,0.922509225092251,
1008,0,9,3.60000000000001,543,543,1,
1010,0,0,0,0,526,0,
1010,0,1,0.400000000000006,0,528,0,
1010,0,2,0.800000000000011,7,528,0.013257575757576,
1010,0,3,1.2,7,532,0.013157894736842,
1010,0,4,1.60000000000001,140,535,0.261682242990654,
1010,0,5,2,140,538,0.260223048327138,
1010,0,6,2.40000000000001,140,540,0.259259259259259,
1010,0,7,2.80000000000001,186,541,0.343807763401109,
1010,0,8,3.2,186,542,0.343173431734317,
1010,0,9,3.60000000000001,335,543,0.616942909760589,
1010,0,10,4,335,543,0.616942909760589,
1010,0,11,4.40000000000001,335,544,0.615808823529412,
1010,0,12,4.80000000000001,534,546,0.978021978021978,
1011,0,0,0,0,526,0,
1011,0,1,0.400000000000006,0,528,0,
1011,0,2,0.800000000000011,4,528,0.007575757575758,
1011,0,3,1.2,4,532,0.007518796992481,
1011,0,4,1.60000000000001,43,535,0.080373831775701,
1011,0,5,2,43,538,0.079925650557621,
1011,0,6,2.40000000000001,43,540,0.07962962962963,
1011,0,7,2.80000000000001,170,541,0.314232902033272,
1011,0,8,3.2,170,542,0.313653136531365,
1011,0,9,3.60000000000001,337,543,0.620626151012891,
1011,0,10,4,337,543,0.620626151012891,
1011,0,11,4.40000000000001,337,544,0.619485294117647,
1011,0,12,4.80000000000001,471,546,0.862637362637363,
1011,0,13,5.2,471,548,0.85948905109489,
1011,0,14,5.60000000000001,549,549,1,
1012,0,0,0,0,526,0,
1012,0,1,0.400000000000006,0,528,0,
1012,0,2,0.800000000000011,4,528,0.007575757575758,
1012,0,3,1.2,4,532,0.007518796992481,
1012,0,4,1.60000000000001,119,535,0.222429906542056,
1012,0,5,2,119,538,0.221189591078067,
1012,0,6,2.40000000000001,119,540,0.22037037037037,
1012,0,7,2.80000000000001,185,541,0.341959334565619,
1012,0,8,3.2,185,542,0.341328413284133,
1012,0,9,3.60000000000001,465,543,0.856353591160221,
1012,0,10,4,465,543,0.856353591160221,
1012,0,11,4.40000000000001,465,544,0.854779411764706,
1012,0,12,4.80000000000001,510,546,0.934065934065934,
1012,0,13,5.2,510,548,0.930656934306569,
1012,0,14,5.60000000000001,530,549,0.965391621129326,
