id,run_id,unknown_index_0,PoissonParameter
0,0,0,2.60574018126888
1,0,0,0.106382978723404
2,0,0,0.106382978723404
3,0,0,0.106382978723404
4,0,0,0.106382978723404
5,0,0,1.31736526946108
6,0,0,1.23046875
7,0,0,1.25
8,0,0,1.74198250728863
9,0,0,1.38138138138138
10,0,0,1.48628048780488
11,0,0,1.62576687116564
12,0,0,1.44736842105263
13,0,0,1.39684813753582
14,0,0,1.54907975460123
15,0,0,2.46843434343434
16,0,0,0.193370165745856
17,0,0,1.03658536585366
18,0,0,2.08798882681564
19,0,0,1.44495412844037
20,0,0,0.807584269662921
21,0,0,0.548961424332344
22,0,0,0.548961424332344
