id,run_id,unknown_index_0,timeToInform95PercentAgents
0,0,0,32.3999999999999
1,0,0,69.1999999999999
2,0,0,69.1999999999999
3,0,0,69.1999999999999
4,0,0,69.1999999999999
5,0,0,33.5999999999999
6,0,0,53.5999999999999
7,0,0,45.5999999999999
8,0,0,37.1999999999999
9,0,0,33.1999999999999
10,0,0,31.2
11,0,0,30.4
12,0,0,36.7999999999999
13,0,0,39.5999999999999
14,0,0,30.4
15,0,0,58.3999999999999
16,0,0,44.7999999999999
17,0,0,31.2
18,0,0,43.1999999999999
19,0,0,30.8
20,0,0,42.3999999999999
21,0,0,34.7999999999999
22,0,0,34.7999999999999
