id run_id numberOfAgents Power Traffic timeDefault timeNoTraffic timeTraffic timeNothing
169 0 254.0 1.79 2011.0 32.39999999999995 4.8 3.6 0.8
184 0 10.0 1.42 3011.0 69.19999999999989 16.800000000000004 0.8 0.8
186 0 10.0 1.42 746.0 69.19999999999989 16.800000000000004 0.8 0.8
187 0 10.0 1.16 3011.0 69.19999999999989 16.800000000000004 0.8 0.8
188 0 10.0 1.16 746.0 69.19999999999989 16.800000000000004 0.8 0.8
278 0 183.0 1.64 3478.0 100.80000000000037 3.6 23.59999999999998 0.8
379 0 131.0 0.88 2880.0 33.599999999999945 2.8 5.6000000000000005 0.8
632 0 122.0 1.8 3943.0 53.59999999999986 3.6 28.79999999999996 0.8
635 0 122.0 1.51 3943.0 45.599999999999895 3.6 9.600000000000003 0.8
681 0 172.0 1.15 3693.0 37.19999999999993 2.8 31.599999999999948 0.8
806 0 137.0 1.91 3384.0 33.199999999999946 2.8 82.0000000000001 0.8
888 0 146.0 1.58 3474.0 31.199999999999953 3.6 59.99999999999985 0.8
1240 0 159.0 1.96 3833.0 30.399999999999967 2.8 16.800000000000004 0.8
1286 0 144.0 1.68 3900.0 36.799999999999926 3.6 43.599999999999895 0.8
1403 0 139.0 1.89 3708.0 39.59999999999992 3.6 43.599999999999895 0.8
1481 0 154.0 0.58 3771.0 30.399999999999967 3.6 11.200000000000005 1.6
1527 0 243.0 1.21 3712.0 58.39999999999986 3.6 100.80000000000037 0.8
1730 0 20.0 1.88 3244.0 44.799999999999905 9.600000000000003 2.8 0.8
1821 0 101.0 0.64 3052.0 31.199999999999953 2.8 6.8000000000000025 1.6
1901 0 202.0 1.06 3177.0 43.199999999999896 2.8 100.80000000000037 0.8
1916 0 144.0 1.43 2619.0 30.799999999999947 3.6 16.800000000000004 0.8
1967 0 83.0 0.59 3869.0 42.399999999999906 10.800000000000004 1.6 1.6
1990 0 57.0 1.06 3681.0 34.79999999999994 3.6 18.8 0.8
1991 0 57.0 1.88 3681.0 34.79999999999994 3.6 11.600000000000005 0.8
