 timeStep numberPedsInformed-PID12 numberPedsAll-PID12 percentageInformed-PID12
0 0.0 0 10 0.0
1 0.4000000000000057 0 10 0.0
2 0.8000000000000114 3 10 0.3
3 1.2000000000000028 3 10 0.3
4 1.6000000000000085 4 10 0.4
5 2.0 4 10 0.4
6 2.4000000000000057 4 10 0.4
7 2.8000000000000114 4 10 0.4
8 3.200000000000003 4 10 0.4
9 3.6000000000000085 4 10 0.4
10 4.0 4 10 0.4
11 4.400000000000006 4 10 0.4
12 4.800000000000011 4 10 0.4
13 5.200000000000003 4 10 0.4
14 5.6000000000000085 4 10 0.4
15 6.0 4 10 0.4
16 6.400000000000006 4 10 0.4
17 6.800000000000011 4 10 0.4
18 7.200000000000003 4 10 0.4
19 7.6000000000000085 4 10 0.4
20 8.0 4 10 0.4
21 8.400000000000006 4 10 0.4
22 8.800000000000011 4 10 0.4
23 9.200000000000003 4 10 0.4
24 9.600000000000009 4 10 0.4
25 10.0 4 10 0.4
26 10.400000000000006 4 11 0.3636363636363637
27 10.800000000000011 5 11 0.4545454545454545
28 11.200000000000003 5 11 0.4545454545454545
29 11.600000000000009 7 11 0.6363636363636364
30 12.0 7 11 0.6363636363636364
31 12.400000000000006 7 11 0.6363636363636364
32 12.800000000000011 7 11 0.6363636363636364
33 13.200000000000003 7 11 0.6363636363636364
34 13.600000000000009 7 11 0.6363636363636364
35 14.0 7 11 0.6363636363636364
36 14.400000000000006 7 11 0.6363636363636364
37 14.800000000000011 7 11 0.6363636363636364
38 15.200000000000003 7 11 0.6363636363636364
39 15.600000000000009 7 11 0.6363636363636364
40 16.0 7 11 0.6363636363636364
41 16.400000000000006 7 11 0.6363636363636364
42 16.80000000000001 7 11 0.6363636363636364
43 17.200000000000003 7 11 0.6363636363636364
44 17.60000000000001 7 11 0.6363636363636364
45 18.0 7 11 0.6363636363636364
46 18.400000000000006 7 11 0.6363636363636364
47 18.80000000000001 7 11 0.6363636363636364
48 19.200000000000003 7 11 0.6363636363636364
49 19.60000000000001 7 11 0.6363636363636364
50 20.0 7 11 0.6363636363636364
51 20.400000000000006 7 11 0.6363636363636364
52 20.80000000000001 7 11 0.6363636363636364
53 21.200000000000003 7 11 0.6363636363636364
54 21.60000000000001 7 11 0.6363636363636364
55 22.0 7 11 0.6363636363636364
56 22.400000000000006 7 11 0.6363636363636364
57 22.80000000000001 7 11 0.6363636363636364
58 23.200000000000003 7 11 0.6363636363636364
59 23.60000000000001 7 11 0.6363636363636364
60 24.0 7 11 0.6363636363636364
61 24.400000000000006 7 11 0.6363636363636364
62 24.80000000000001 7 11 0.6363636363636364
63 25.200000000000003 7 11 0.6363636363636364
64 25.60000000000001 7 11 0.6363636363636364
65 26.0 7 11 0.6363636363636364
66 26.400000000000006 7 11 0.6363636363636364
67 26.80000000000001 8 11 0.7272727272727273
68 27.200000000000003 8 11 0.7272727272727273
69 27.60000000000001 8 11 0.7272727272727273
70 28.0 8 11 0.7272727272727273
71 28.400000000000006 8 11 0.7272727272727273
