id,run_id,Unnamed: 0,timeStep,numberPedsInformed-PID12,numberPedsAll-PID12,percentageInformed-PID12
0,0,0,0.0,0,181,0.0
0,0,1,0.4000000000000057,0,181,0.0
0,0,2,0.8000000000000114,1,182,0.005494505494505495
0,0,3,1.2000000000000028,1,182,0.005494505494505495
0,0,4,1.6000000000000083,9,184,0.04891304347826087
0,0,5,2.0,9,184,0.04891304347826087
0,0,6,2.4000000000000057,9,185,0.04864864864864865
0,0,7,2.800000000000012,23,186,0.12365591397849462
0,0,8,3.200000000000003,23,186,0.12365591397849462
0,0,9,3.6000000000000085,77,186,0.4139784946236559
0,0,10,4.0,77,186,0.4139784946236559
0,0,11,4.400000000000006,77,187,0.4117647058823529
0,0,12,4.800000000000012,83,188,0.4414893617021277
0,0,13,5.200000000000003,83,190,0.4368421052631579
0,0,14,5.6000000000000085,84,192,0.4375
0,0,15,6.0,84,192,0.4375
0,0,16,6.400000000000006,84,192,0.4375
0,0,17,6.800000000000012,84,191,0.4397905759162304
0,0,18,7.200000000000002,84,191,0.4397905759162304
0,0,19,7.600000000000008,86,192,0.4479166666666667
0,0,20,8.0,86,192,0.4479166666666667
0,0,21,8.400000000000006,86,192,0.4479166666666667
0,0,22,8.800000000000011,86,194,0.4432989690721649
0,0,23,9.200000000000003,86,194,0.4432989690721649
0,0,24,9.600000000000009,116,197,0.5888324873096447
0,0,25,10.0,116,197,0.5888324873096447
0,0,26,10.400000000000006,117,197,0.5939086294416244
0,0,27,10.800000000000011,118,198,0.5959595959595959
0,0,28,11.200000000000005,143,199,0.7185929648241206
0,0,29,11.600000000000007,143,200,0.715
0,0,30,12.0,143,202,0.7079207920792079
0,0,31,12.400000000000004,153,203,0.7536945812807881
0,0,32,12.800000000000011,153,203,0.7536945812807881
0,0,33,13.200000000000005,153,204,0.75
0,0,34,13.600000000000007,156,204,0.7647058823529411
0,0,35,14.0,156,205,0.7609756097560976
0,0,36,14.400000000000004,156,206,0.7572815533980582
0,0,37,14.800000000000011,156,206,0.7572815533980582
0,0,38,15.200000000000005,156,206,0.7572815533980582
0,0,39,15.600000000000007,156,206,0.7572815533980582
0,0,40,16.0,156,207,0.7536231884057971
0,0,41,16.400000000000006,158,207,0.7632850241545893
0,0,42,16.800000000000008,158,207,0.7632850241545893
0,0,43,17.200000000000006,159,209,0.7607655502392344
0,0,44,17.600000000000012,160,210,0.7619047619047619
0,0,45,18.0,160,210,0.7619047619047619
0,0,46,18.400000000000006,160,211,0.7582938388625592
0,0,47,18.80000000000001,160,212,0.7547169811320755
0,0,48,19.200000000000006,160,212,0.7547169811320755
0,0,49,19.600000000000012,161,214,0.7523364485981309
0,0,50,20.0,161,214,0.7523364485981309
0,0,51,20.400000000000006,165,214,0.7710280373831776
0,0,52,20.80000000000001,165,215,0.7674418604651163
0,0,53,21.200000000000006,165,216,0.7638888888888888
0,0,54,21.60000000000001,165,216,0.7638888888888888
0,0,55,22.0,165,217,0.7603686635944701
0,0,56,22.40000000000001,166,218,0.7614678899082569
0,0,57,22.800000000000008,166,219,0.7579908675799086
0,0,58,23.200000000000006,166,221,0.751131221719457
0,0,59,23.60000000000001,175,221,0.7918552036199095
0,0,60,24.0,175,223,0.7847533632286996
0,0,61,24.40000000000001,175,225,0.7777777777777778
0,0,62,24.800000000000008,177,224,0.7901785714285714
0,0,63,25.200000000000006,177,225,0.7866666666666666
0,0,64,25.60000000000001,180,226,0.7964601769911505
0,0,65,26.0,180,227,0.7929515418502202
0,0,66,26.40000000000001,180,227,0.7929515418502202
0,0,67,26.800000000000008,184,227,0.8105726872246696
0,0,68,27.200000000000006,184,227,0.8105726872246696
0,0,69,27.60000000000001,185,227,0.8149779735682819
0,0,70,28.0,204,227,0.8986784140969163
0,0,71,28.40000000000001,204,227,0.8986784140969163
0,0,72,28.800000000000008,226,228,0.9912280701754386
